,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
61,19,3,1:08.035,4,120.5,6:39.018,2020-11-10 12:06:39.018,Felix ROSENQVIST,,,1,Mahindra Racing,MAHINDRA,25.30555,53.8889,4.828035,218.5
62,23,1,3:58.486,0,34.4,3:58.486,2020-11-10 12:03:58.486,Nick HEIDFELD,0:02:30.533,,1,Mahindra Racing,MAHINDRA,25.2778,53.8889,6.43738,184.0
63,23,2,1:28.038,0,93.1,5:26.524,2020-11-10 12:05:26.524,Nick HEIDFELD,,,1,Mahindra Racing,MAHINDRA,,,,
64,23,3,1:11.267,2,115.0,6:37.791,2020-11-10 12:06:37.791,Nick HEIDFELD,,,1,Mahindra Racing,MAHINDRA,25.30555,53.8889,4.828035,218.5
65,3,1,3:49.206,0,35.8,3:49.206,2020-11-10 12:03:49.206,Nelson PIQUET JR,0:02:25.027,,1,NEXTEV NIO,NEXTEV,25.2778,53.8889,6.43738,184.0
66,3,2,1:12.553,0,113.0,5:01.759,2020-11-10 12:05:01.759,Nelson PIQUET JR,,,1,NEXTEV NIO,NEXTEV,,,,
67,3,3,1:09.149,2,118.5,6:10.908,2020-11-10 12:06:10.908,Nelson PIQUET JR,,,1,NEXTEV NIO,NEXTEV,25.3333,53.8889,3.21869,253.0
68,33,1,3:10.805,0,43.0,3:10.805,2020-11-10 12:03:10.805,Stéphane SARRAZIN,0:01:41.596,,1,TECHEETAH,TECHEETAH,25.2778,53.3333,6.43738,224.0
69,33,2,1:17.599,0,105.6,4:28.404,2020-11-10 12:04:28.404,Stéphane SARRAZIN,,,1,TECHEETAH,TECHEETAH,,,,
70,33,3,1:08.822,2,119.1,5:37.226,2020-11-10 12:05:37.226,Stéphane SARRAZIN,,,1,TECHEETAH,TECHEETAH,25.3333,53.8889,3.21869,253.0
71,5,1,3:37.313,0,37.7,3:37.313,2020-11-10 12:03:37.313,Maro ENGEL,0:02:15.793,,1,Venturi Formula E Team,VENTURI,25.2778,53.8889,6.43738,184.0
72,5,2,1:18.603,0,104.3,4:55.916,2020-11-10 12:04:55.916,Maro ENGEL,,,1,Venturi Formula E Team,VENTURI,,,,
73,5,3,1:08.582,2,119.5,6:04.498,2020-11-10 12:06:04.498,Maro ENGEL,,,1,Venturi Formula E Team,VENTURI,25.3333,53.8889,3.21869,253.0
74,4,1,3:38.011,0,37.6,3:38.011,2020-11-10 12:13:38.011,Tom DILLMANN,0:02:20.069,,2,Venturi Formula E Team,VENTURI,25.6667,53.8889,6.43738,240.0
75,4,2,1:12.198,0,113.5,4:50.209,2020-11-10 12:14:50.209,Tom DILLMANN,,,2,Venturi Formula E Team,VENTURI,,,,
76,4,3,1:08.738,2,119.3,5:58.947,2020-11-10 12:15:58.947,Tom DILLMANN,,,2,Venturi Formula E Team,VENTURI,25.6389,53.6111,7.242050000000001,240.5
77,47,1,2:01.799,0,67.3,2:01.799,2020-11-10 12:12:01.799,Adam CARROLL,0:00:44.226,,2,Panasonic Jaguar Racing,JAGUAR,25.7222,53.8889,9.65606,240.0
